,Code,Year,govtExpend,privateShare,Entity,primaryEnrollment,pop
0,AFG,2011,16.048429000000002,1.6714299917221103,Afghanistan,102.80963134765601,30117000.0
1,AFG,2012,10.3568,2.48132991790771,Afghanistan,108.928520202637,31161000.0
2,AFG,2014,14.465929999999998,2.47764992713928,Afghanistan,111.74413299560499,33371000.0
3,ALB,2001,10.58193,2.16422009468079,Albania,103.473999023438,3130000.0
4,ALB,2005,11.35797,4.27776002883911,Albania,101.472358703613,3087000.0
5,ALB,2006,10.93295,4.83808994293213,Albania,99.59384155273442,3063000.0
6,ALB,2007,11.17719,5.4167799949646,Albania,99.09313201904301,3034000.0
7,ALB,2013,12.12391,5.549099922180179,Albania,107.784561157227,2904000.0
8,DZA,2008,11.42835,0.26300001144409196,Algeria,109.312057495117,34731000.0
9,AGO,1998,6.114679799999999,5.22377014160156,Angola,78.3684005737305,15360000.0
10,AGO,2010,8.6847696,1.9460099935531598,Angola,113.50787353515601,23356000.0
11,ATG,2009,6.9281402000000005,52.793540954589794,Antigua and Barbuda,102.798797607422,87000.0
12,ARG,1996,15.39877,20.340740203857397,Argentina,111.36750793456999,35246000.0
13,ARG,1998,15.62227,20.697799682617198,Argentina,112.947067260742,36063000.0
14,ARG,1999,15.88009,19.5295295715332,Argentina,116.052947998047,36467000.0
15,ARG,2000,16.226351,19.9244594573975,Argentina,117.363487243652,36871000.0
16,ARG,2001,16.356379999999998,19.7511100769043,Argentina,118.06462097168001,37276000.0
17,ARG,2002,16.44264,19.5556907653809,Argentina,118.75852203369101,37682000.0
18,ARG,2003,14.354870000000002,19.7878093719482,Argentina,116.50131225585899,38088000.0
19,ARG,2004,15.14052,20.2285404205322,Argentina,117.813636779785,38492000.0
20,ARG,2005,15.80817,21.0695495605469,Argentina,117.13329315185499,38893000.0
21,ARG,2006,15.51,21.1949291229248,Argentina,118.83519744873001,39290000.0
22,ARG,2007,15.10436,21.845640182495103,Argentina,119.348686218262,39684000.0
23,ARG,2008,15.74789,22.690509796142603,Argentina,119.441162109375,40080000.0
24,ARG,2009,16.02104,23.1661701202393,Argentina,118.211410522461,40483000.0
25,ARG,2010,15.048329999999998,23.6371002197266,Argentina,116.718162536621,40896000.0
26,ARG,2011,15.15894,23.950750350952102,Argentina,114.76847076416,41320000.0
27,ARG,2012,14.51861,24.736509323120103,Argentina,112.978256225586,41755000.0
